Date,"Number of Chats",Weekname
2017-04-07,19913,Friday
2017-04-08,8424,Saturday
2017-04-09,10149,Sunday
2017-04-10,16534,Monday
2017-04-11,16105,Tuesday
2017-04-12,17529,Wednesday
2017-04-13,13323,Thursday
2017-04-14,12272,Friday
2017-04-15,9052,Saturday
2017-04-16,9672,Sunday
2017-04-17,9007,Monday
2017-04-18,20219,Tuesday
2017-04-19,16032,Wednesday
2017-04-20,15426,Thursday
2017-04-21,24984,Friday
2017-04-22,11088,Saturday
2017-04-23,10362,Sunday
2017-04-24,13792,Monday
2017-04-25,21983,Tuesday
2017-04-26,26452,Wednesday
2017-04-27,15089,Thursday
2017-04-28,19419,Friday
2017-04-29,7440,Saturday
2017-04-30,8899,Sunday
2017-05-01,8039,Monday
2017-05-02,21451,Tuesday
2017-05-03,32074,Wednesday
2017-05-04,16080,Thursday
2017-05-05,16205,Friday
2017-05-06,7454,Saturday
2017-05-07,8953,Sunday
2017-05-08,14327,Monday
2017-05-09,21784,Tuesday
2017-05-10,30319,Wednesday
2017-05-11,16496,Thursday
2017-05-12,38586,Friday
2017-05-13,11149,Saturday
2017-05-14,11226,Sunday
2017-05-15,13614,Monday
2017-05-16,28598,Tuesday
2017-05-17,26777,Wednesday
2017-05-18,20625,Thursday
2017-05-19,23831,Friday
2017-05-20,9402,Saturday
2017-05-21,21995,Sunday
2017-05-22,15469,Monday
2017-05-23,16424,Tuesday
2017-05-24,23669,Wednesday
2017-05-25,9370,Thursday
2017-05-26,25588,Friday
2017-05-27,9429,Saturday
2017-05-28,16107,Sunday
2017-05-29,17517,Monday
2017-05-30,21458,Tuesday
2017-05-31,25362,Wednesday
2017-06-01,13665,Thursday
2017-06-02,16810,Friday
2017-06-03,5631,Saturday
2017-06-04,7086,Sunday
2017-06-05,5723,Monday
2017-06-06,14424,Tuesday
2017-06-07,23246,Wednesday
2017-06-08,10231,Thursday
2017-06-09,14364,Friday
2017-06-10,14380,Saturday
2017-06-11,19655,Sunday
2017-06-12,26729,Monday
2017-06-13,17529,Tuesday
2017-06-14,12445,Wednesday
2017-06-15,13721,Thursday
2017-06-16,15670,Friday
2017-06-17,8181,Saturday
2017-06-18,9813,Sunday
2017-06-19,11343,Monday
2017-06-20,13229,Tuesday
2017-06-21,17650,Wednesday
2017-06-22,11151,Thursday
2017-06-23,10824,Friday
2017-06-24,7097,Saturday
2017-06-25,7334,Sunday
2017-06-26,11409,Monday
2017-06-27,14165,Tuesday
2017-06-28,20206,Wednesday
2017-06-29,11224,Thursday
2017-06-30,9462,Friday
2017-07-01,6415,Saturday
2017-07-02,5645,Sunday
2017-07-03,9188,Monday
2017-07-04,12069,Tuesday
2017-07-05,17530,Wednesday
2017-07-06,8889,Thursday
2017-07-07,9800,Friday
2017-07-08,7321,Saturday
2017-07-09,6480,Sunday
2017-07-10,9376,Monday
2017-07-11,12679,Tuesday
2017-07-12,22269,Wednesday
2017-07-13,8512,Thursday
2017-07-14,7578,Friday
2017-07-15,19459,Saturday
2017-07-16,7075,Sunday
2017-07-17,10522,Monday
2017-07-18,14234,Tuesday
2017-07-19,23297,Wednesday
2017-07-20,12821,Thursday
2017-07-21,19233,Friday
2017-07-22,8263,Saturday
2017-07-23,5284,Sunday
